name,code,ide,sphere
"приватне акціонерне товариство ""полтавське хлібоприймальне підприємство""",13,13,13
"дочірнє підприємство ""вінницький облавтодор"" відкритого акціонерного товариства ""державна акціонерна компанія ""автомобільні дороги україни""",13,13,13
"державне підприємство ""бердичівське лісове господарство""",13,13,13
"товариство з обмеженою відповідальністю ""агрофірма ""лан""",13,13,13
"державне підприємство "" житомирське лісове господарство""",13,13,13
"полтавське обласне комунальне підприємство ""полтавафарм""",13,13,13
"товариство з обмеженою відповідальністю ""пролісок""",13,13,13
"товариство з обмеженою відповідальністю будівельно монтажна компанія ""софіївська""",13,13,13
"комунальне некомерційне підприємство ""хотинська районна лікарня"" хотинської районної ради",13,13,13
"комунальне некомерційне підприємство луганської обласної ради ""сватівська обласна лікарня з надання психіатричної допомоги""",13,13,13
"комунальне некомерційне підприємство ""центр екстреної медичної допомоги та медицини катастроф"" житомирської обласної ради",13,13,13
"відділ освіти, культури,  молоді та спорту чемеровецької районної державної адміністрації хмельницької області",13,13,13
"приватне акціонерне товариство ""полтавський гірничо-збагачувальний комбінат""",13,13,13
"комунальне підприємство ""керуюча компанія з обслуговування житлового фонду оболонського району м. києва""",13,13,13
"державне підприємство ""білокоровицьке лісове господарство""",13,13,13
"товариство з обмеженою відповідальністю ""агро- ""будсервіс""",13,13,13
"споживче товариство "" луцьккоопторг"" (маневицький ринок)",13,13,13
"""селянське (фермерське) господарство ""руслан""",13,13,13
"ринок ""бережанського районного споживчого товариства""",13,13,13
"товариство з обмеженою відповідальністю ""санбор""",13,13,13
рівненський державний гуманітарний університет,13,13,13
"ринок тов ""зоря-2"" м.курахове",13,13,13
"приватне підприємство ""спортивно-комерційний клуб віталія качановського""",13,13,13
"товариство з обмеженою відповідальністю ""агро-рось""",13,13,13
"мале підприємство ""міський виробничо-торговий центр""",13,13,13
"комунальне підприємство виконавчого комітету лубенської міської ради ""міський ринок""",13,13,13
"приватне підприємство ""маркет - ш-о-в""",13,13,13
"товариство з обмеженою відповідальністю ""уют-2011""",13,13,13
"приватне акціонерне товариство ""рубіжанський картонно-тарний комбінат""",13,13,13
"тов ""теплопостачсервіс""",13,13,13
"тов ""сільпо фуд""",13,13,13
"фермерське господарство "" ольвія """,13,13,13
"комунальне підприємство ""боярське головне виробниче управління житлово-комунального господарства боярської міської ради києво-святошинського району київської області""",13,13,13
"товариство з обмеженою відповідальністю ""стандарт ойл-2000""",13,13,13
"приватне підприємство "" надія """,13,13,13
"виробничий сільськогосподарський кооператив ""україна""",13,13,13
"комунальне підприємство ""селищний ринок""",13,13,13
"комунальне некомерційне підприємство ""чернігівська обласна лікарня"" чернігівської обласної ради",13,13,13
"комунальне некомерційне підприємство ""територіальне медичне об'єднання ""вінницький обласний центр  екстреної медичної допомоги та медицини катастроф вінницької обласної ради""",13,13,13
запорізький національний університет,13,13,13
"товариство з обмеженою відповідальністю ""магазин №201""",13,13,13
"товариство з обмеженою відповідальністю  агрофірма ""нива""",12,12,12
"товариство з обмеженою відповідальністю ""дельта""",12,12,12
івано-франківський національний медичний університет,12,12,12
"акціонерне товариство ""сумське машинобудівне науково-виробниче об'єднання""",12,12,12
"агропродовольчий ринок ""толока""  тов ""апейон""",12,12,12
"товариство з обмеженою відповідальністю фірма ""алекс к лтд""",12,12,12
"акціонерне товариство ""дтек дніпровські електромережі""",12,12,12
управління соціального захисту населення первомайської міської ради,12,12,12
"товариство з обмеженою відповідальністю ""ім шевченка""",12,12,12
шевченківська   сільська рада,12,12,12
"фермерське господарство "" зоря """,12,12,12
"відділ освіти, молоді та спорту рожнятівської районної державної адміністрації",12,12,12
"комунальне підприємство ""комунальне некомерційне підприємство вознесенська багатопрофільна лікарня"" вознесенської міської ради",12,12,12
"споживче товариство ""критий ринок-2""",12,12,12
"дочірнє підприємство "" агрофірма ""шахтар"" орендного підприємства "" шахта ім о ф засядька""",12,12,12
"комунальне підприємство теплових мереж ""криворіжтепломережа""",12,12,12
"товариство з обмеженою відповідальністю ""оптімусагро трейд""",12,12,12
"товариство з обмеженою відповідальністю ""єгаз-рітейл""",12,12,12
"державний вищий навчальний заклад ""національний лісотехнічний університет україни""",12,12,12
"споживче товариство ""універсальний ринок""  м. сміла",12,12,12
"приватне підприємство ""укрпалетсистем""",12,12,12
"товариство з обмеженою відповідальністю ""дивобуд""",12,12,12
"товариство з обмеженою відповідальністю ""підгур'ївське""",12,12,12
"акціонерне товариство ""оператор газорозподільної системи ""закарпатгаз""",12,12,12
"кнп ""рожищенський центр первинної медико-санітарної допомоги""",12,12,12
управління соціального захисту населення калуської районної державної адміністрації,12,12,12
"акціонерне товариство ""оператор газорозподільної системи ""запоріжгаз""",12,12,12
"приватне сільськогосподарське підприємство ""степ""",12,12,12
"приватна агрофірма ""подоляка""",12,12,12
дніпровський державний аграрно-економічний університет,12,12,12
"товариство з обмеженою відповідальністю ""агро комплекс""",12,12,12
бобринецьке районне споживче товариство,12,12,12
"товариство з обмеженою відповідальністю ""злак""",12,12,12
"комунальне підприємство ""дніпроводоканал"" дніпровської міської ради",12,12,12
"товариство з обмеженою відповідальністю ""рассвет""",12,12,12
"товариство з обмеженою відповідальністю "" меркурій""",12,12,12
"приватне підприємство ""будівельна компанія ""будмарс""",12,12,12
"приватне підприємство ""центральний іванківський ринок""",12,12,12
"комунальне  некомерційне підприємство  ""черкаський  обласний  онкологічний  диспансер черкаської обласної ради""",12,12,12
львівський національний аграрний університет,12,12,12
"підприємство споживчої кооперації ""іванківський ринок київської облспоживспілки""",12,12,12
"ринок  тов ""торговий дім ""південний донбас"" м.вугледар",12,12,12
"фермерське господарство  ""еліта""",12,12,12
"товариство з обмеженою відповідальністю ""востокстройгаз""",12,12,12
"товариство з обмеженою відповідальністю ""лозівський ковальсько-механічний завод""",12,12,12
"кп ""марківський ринок""",12,12,12
фоп каленська в.р.,12,12,12
"ринок мпп ""моріон""",12,12,12
"державне підприємство ""хлібна база №85"" державного агентства резерву україни",12,12,12
управління соціального захисту населення шаргородської районної державної адміністрації,12,12,12
"товариство з обмеженою відповідальністю ""лерсен лтд""",12,12,12
відділ культури лугинської районної державної адміністрації,12,12,12
"державне підприємство ""великоберезнянське лісове господарство""",12,12,12
"комунальне некомерційне підприємство ""хмільницька центральна районна лікарня"" хмільницької районної ради",12,12,12
"державне підприємство ""гутянське лісове господарство""",12,12,12
"комунальне некомерційне підприємство ""хмельницький обласний центр екстреної медичної допомоги та медицини катастроф""  хмельницької обласної ради",12,12,12
"тов ""тревел профешнл груп""",12,12,12
"регіональне відділення фонду державного майна україни по харківській, донецькій та луганській областях",12,12,12
"тов ""цетехно""",12,12,12
управління  соціального захисту населення кам'янець-подільської районної державної адміністрації  хмельницької області,12,12,12
"українське державне підприємство по обслуговуванню іноземних та вітчизняних автотранспортних засобів ""укрінтеравтосервіс""",12,12,12
"рубіжнянський казенний хімічний завод ""зоря""",12,12,12
"державне підприємство ""житомирський бронетанковий завод""",12,12,12
"тц ""мир""",12,12,12
"товариство з обмеженою відповідальністю ""маркет рітейл""",12,12,12
томашпільська селищна рада,12,12,12
"комунальне некомерційне підприємство ""лозівське територіальне медичне об’єднання"" лозівської міської ради харківської області",12,12,12
"комунальне некомерційне підприємство ""центр первинної медико-санітарної допомоги"" роменської районної ради сумської області",12,12,12
"селянське (фермерське) господарство "" росток """,12,12,12
"селянське (фермерське)  господарство ""калина""",12,12,12
"селянське (фермерське) господарство ""родина""",12,12,12
"приватне акціонерне товариство ""укргідроенерго""",12,12,12
"сільськогосподарське товариство з обмеженою відповідальністю ""хлібороб""",12,12,12
національний університет кораблебудування імені адмірала макарова,12,12,12
"сектор культури, молоді, національностей та релігій макарівської районної державної адміністрації",12,12,12
"дочірнє підприємство ""запорізький облавтодор"" відкритого акціонерного товариства ""державна акціонерна компанія ""автомобільні дороги україни""",12,12,12
"товариство з обмеженою відповідальністю ""незалежна лабораторія інвітро""",12,12,12
"виробничий сільськогосподарський кооператив ""нива""",12,12,12
"комунальне некомерційне підприємство ""мукачівська центральна районна лікарня""",12,12,12
таврійський державний агротехнологічний університет імені дмитра моторного,12,12,12
"приватне акціонерне товариство ""полонське підприємство""агрохім""",12,12,12
"дочірнє підприємство ""івано-франківський облавтодор"" відкритого акціонерного товариства ""державна акціонерна компанія ""автомобільні дороги україни""",12,12,12
"державне підприємство ""красилівський агрегатний завод""",12,12,12
"відділ культури, національностей та релігій бородянської районної державної адміністрації",12,12,12
"державне підприємство ""переяслав-хмельницьке лісове господарство""",12,12,12
ніжинський державний університет імені миколи гоголя,12,12,12
"приватне акціонерне товариство ""акціонерна компанія ""київводоканал""",12,12,12
"державне підприємство ""науково-виробничий комплекс газотурбобудування ""зоря"" - ""машпроект""",12,12,12
"комунальне підприємство ""вінницяоблводоканал""",12,12,12
"державне підприємство ""полтавське лісове господарство""",12,12,12
"відділ культури, молоді і спорту володарської районної державної адміністрації",12,12,12
"підприємство споживчої кооперації ""ржищівський ринок київської облспоживспілки""",12,12,12
"державне підприємство ""звенигородське лісове господарство""",12,12,12
"державне підприємство ""остерське лісове господарство""",12,12,12
"приватне акціонерне товариство  ""запоріжкокс""",11,11,11
"державне підприємство ""соснівське лісове господарство""",11,11,11
харківський національний педагогічний університет імені г.с.сковороди,11,11,11
управління соціального захисту населення дубровицької районної державної адміністрації,11,11,11
приватне сільськогосподарське підприємство імені горького,11,11,11
"державне підприємство ""спеціалізоване лісогосподарське підприємство ""київоблагроліс""",11,11,11
"комунальне некомерційне підприємство ""черкаська обласна лікарня черкаської обласної ради""",11,11,11
"товариство з обмеженою відповідальністю ""агрофірма ""ольвія""",11,11,11
"сільськогосподарський виробничий кооператив ""лабунський""",11,11,11
"товариство з обмеженою відповідальністю ""агрофірма вікторія""",11,11,11
"""здвиж""",11,11,11
брониківська сільська рада,11,11,11
"товариство з обмеженою відповідальністю ""октан о""",11,11,11
луцький національний технічний університет,11,11,11
"приватне акціонерне товариство ""підприємство з іноземними інвестиціями "" інтервибухпром """,11,11,11
"комунальне некомерційне підприємство ""канівська центральна районна лікарня"" канівської районної ради",11,11,11
"комунальне некомерційне підприємство ""ярмолинецький районний центр первинної медико-санітарної допомоги"" ярмолинецької районної ради хмельницької області",11,11,11
"товариство з обмеженою відповідальністю ""хмельницьктранс""",11,11,11
"підприємство новосанжарського районного споживчого товариства ""центральний ринок""",11,11,11
"державне підприємство ""поліське лісове господарство""",11,11,11
рівненський обласний центр зайнятості,11,11,11
"фермерське господарство ""божнюкове""",11,11,11
дружківська загальноосвітня школа i-iii ступенів № 17 дружківської міської ради донецької області,11,11,11
"товариство з обмеженою відповідальністю ""луцька аграрна компанія""",11,11,11
"товариство з обмеженою відповідальністю ""агрофірма ""колос""",11,11,11
"""приватне сільськогосподарське підприємство ""вікторія""",11,11,11
"товариство з обмеженою відповідальністю ""гулянецький щебзавод""",11,11,11
"селянське (фермерське) господарство ""влад""",11,11,11
"сільськогосподарське товариство з обмеженою відповідальністю "" нове життя """,11,11,11
"приватне сільськогосподарське підприємство ""зоря""",11,11,11
"комунальне некомерційне підприємство ""малинська міська лікарня"" малинської міської ради",11,11,11
"волинська спілка споживчих товариств агропродовольчий ринок ""центральний ринок""",11,11,11
"сільськогосподарське товариство з обмеженою відповідальністю ""агросвіт""",11,11,11
"сільськогосподарське  приватне  акціонерне  товариство  "" україна """,11,11,11
"товариство з обмеженою відповідальністю  ""чиста криниця""",11,11,11
"лисичанське комунальне спеціалізоване підприємство по видобутку, обробці, реалізації води та очищенню стоків ""лисичанськводоканал""",11,11,11
"приватне сільськогосподарське підприємство ""перемога""",11,11,11
"товариство з обмеженою відповідальністю ""руш""",11,11,11
"сільськогосподарське товариство з обмеженою відповідальністю ""говтва""",11,11,11
"товариство з обмеженою відповідальністю ""науково-виробниче підприємство ""зоря""",11,11,11
торговицьке навчально-виховне об'єднання новоархангельської районної ради кіровоградської області,11,11,11
гришковецька селищна рада,11,11,11
"акціонерне товариство ""оператор газорозподільної системи ""вінницягаз""",11,11,11
"споживче товариство ""волинькоопторг""",11,11,11
"комунальне некомерційне підприємство фастівської районної ради ""фастівська центральна районна лікарня""",11,11,11
"сільськогосподарське товариство з обмеженою відповідальністю ""мир""",11,11,11
"селянське (фермерське) господарство ""агродар""",11,11,11
"селянське (фермерське) господарство "" янтар """,11,11,11
"комунальне некомерційне підприємство ""новобузька центральна районна лікарня"" новобузької районної ради миколаївської області",11,11,11
"селянське (фермерське) господарство "" ранок """,11,11,11
"фермерське господарство ""олександрівське""",11,11,11
"державне підприємство ""торецьквугілля""",11,11,11
"сільськогосподарське товариство з обмеженою відповідальністю ""степове""",11,11,11
підприємство сумської облспоживспілки кролевецький ринок,11,11,11
"опорний заклад загальної середньої освіти ""торчинський ліцей торчинської селищної ради""",11,11,11
казанківська селищна рада,11,11,11
"приватне підприємство ""іван""",11,11,11
"товариство з обмеженою відповідальністю "" агротехніка """,11,11,11
"товариство з обмеженою відповідальністю ""шахта 1-3 ""новогродівська""",11,11,11
"товариство з обмеженою відповідальністю ""кромберг енд шуберт україна жу""",11,11,11
"споживче товариство ""волинькоопторг"" (колківський ринок)",11,11,11
"комунальне некомерційне підприємство бердянської міської ради ""бердянське територіальне медичне об'єднання""",11,11,11
"приватне акціонерне товариство ""запорізький абразивний комбінат""",11,11,11
"державне підприємство  ""міжгірське лісове господарство""",11,11,11
"приватне акціонерне товариство ""завод металоконструкцій укрсталь запоріжжя""",11,11,11
відділ культури та туризму коростишівської міської ради,11,11,11
"державне підприємство "" чортківське лісове господарство """,11,11,11
уманський державний педагогічний університет імені павла тичини,11,11,11
уманський колгоспний ринок черкаської облспоживспілки,11,11,11
"публічне акціонерне товариство ""центренерго""",11,11,11
"спільне підприємство ""полтавська газонафтова компанія""",11,11,11
"тов ""ол-сервіс груп""",11,11,11
"державне підприємство ""коростишівське лісове господарство""",11,11,11
центральний ринок літинського районного споживчого товариства,11,11,11
"товариство з обмеженою відповідальністю ""чернігівгаз збут""",11,11,11
відділ культури і туризму близнюківської районної державної адміністрації,11,11,11
олексіївська сільська рада,11,11,11
"приватне підприємство ""обслуговуюча компанія ""наш дім""",11,11,11
відділ культури і туризму коропської селищної ради,11,11,11
"комунальне некомерційне підприємство""станично-луганське районне територіальне медичне об'єднання""",11,11,11
управління   соціального захисту населення звенигородської районної державної адміністрації черкаської області,11,11,11
"командитне товариство ""рівне-пас""",11,11,11
"тов ""технофайнд""",11,11,11
кам'янська сільська рада,11,11,11
"комунальне некомерційне підприємство ""броварська багатопрофільна клінічна лікарня"" броварської районної ради київської області та броварської міської ради київської області",11,11,11
"комунальне некомерційне підприємство ""бродівська центральна районна лікарня бродівської районної ради львівської області""",11,11,11
ленковецька сільська рада,11,11,11
"підприємство ""гадяцький ринок"" гадяцької райспоживспілки.",11,11,11
"товариство з обмеженою відповідальністю "" хвиля""",11,11,11
"товариство з обмеженою відповідальністю ""імпульс""",11,11,11
"товариство з обмеженою відповідальністю ""санітас-д""",11,11,11
"публічне акціонерне товариство ""запоріжжяобленерго""",11,11,11
"товариство з обмеженою відповідальністю ""метінвест - криворізький ремонтно-механічний завод""",11,11,11
"дочірнє підприємство ""харківський облавтодор"" відкритого акціонерного товариства ""державна акціонерна компанія ""автомобільні дороги україни""",11,11,11
"комунальне підприємство ""коломийський центральний продовольчий ринок""",11,11,11
"приватне акціонерне товариство ""нафтогазвидобування""",11,11,11
"опорний комунальний навчальний заклад ""софіївська загальноосвітня школа і-ііі ступенів"" криворізької районної ради дніпропетровської області",11,11,11
департамент освіти і науки запорізької міської ради,11,11,11
департамент соціальної політики вінницької міської ради,11,11,11
київський національний університет технологій та дизайну,11,11,11
"комунальне некомерційне підприємство ""міська лікарня екстреної т а швидкої медичної допомоги"" запорізької міської ради",11,11,11
"товариство з обмеженою відповідальністю ""агроком""",11,11,11
"товариство з обмеженою відповідальністю ""вф ритейл""",11,11,11
"комунальне підприємство ""рівненська обласна дитяча лікарня"" рівненської обласної ради",11,11,11
"комунальне підприємство ""рубіжанське виробниче управління водопровідно-каналізаційного господарства"" рубіжанської міської ради",11,11,11
"фермерське господарство ""володимир""",11,11,11
"товариство з обмеженою відповідальністю ""компанія з обслуговування газових мереж та теплопостачання""",11,11,11
радехівська міська рада  львівської області,11,11,11
"приватне акціонерне товариство ""апк-інвест""",11,11,11
"""горохівський ринок"" волинської обласної спілки споживчих товариств",11,11,11
"державне підприємство ""мукачівське лісове господарство""",11,11,11
"товариство з обмеженою відповідальністю ""золотий коровай""",11,11,11
"закрите акціонерне товариство ""житомирські ласощі""",11,11,11
"товариство з обмеженою відповідальністю ""оберіг - лтд""",11,11,11
"комунальне підприємство вінницької міської ради ""вінницяміськтеплоенерго""",11,11,11
"товариство з обмеженою відповідальністю ""еліта""",11,11,11
"товариство з обмеженою відповідальністю ""церсаніт інвест""",11,11,11
"комунальний заклад ""олександрівське навчально-виховне об'єднання №2"" олександрівської районної ради кіровоградської області",11,11,11
"товариство з обмеженою відповідальністю ""агро перемога""",11,11,11
"державне підприємство ""хустське лісове дослідне господарство""",11,11,11
"комунальне некомерційне підприємство ""радивилівська районна лікарня"" радивилівської районної ради рівненської області",11,11,11
івано-франківський національний технічний університет нафти і газу,11,11,11
одеський національний медичний університет,11,11,11
вінницький національний аграрний університет,11,11,11
колгоспний ринок хмільницької райспоживспілки,11,11,11
"товариство з обмеженою відповідальністю ""торговий дім ""сан ойл""",11,11,11
"приватне сільськогосподарське підприємство ""добробут""",11,11,11
"товариство з обмеженою відповідальністю ""катран""",11,11,11
луганський національний аграрний університет,11,11,11
вінницький обласний центр зайнятості,11,11,11
"дочірнє підприємство ""клінічний санаторій ""курорт березівські мінеральні води"" приватного акціонерного товариства лікувально-оздоровчих закладів профспілок україни ""укрпрофоздоровниця""",11,11,11
міністерство оборони україни,11,11,11
"товариство з обмеженою відповідальністю ""карпати""",11,11,11
